"------------------------------------------------------------------"
"UCAS Analysis & Insights - 2021 cycle applicant figures"
"------------------------------------------------------------------"
"Published on 9 December 2021"
"------------------------------------------------------------------"
"File name: EOC_data_resource_2021_019_1"
"Cycles: 2010 - 2021"
"Cycle reference point: End of cycle"
"Analysis classes: Year, BTEC Extended diploma points (equivalent grade profile), Reformed BTEC indicator, BTEC only status, Domicile, Gender, Age group, Applicant type                                                                   "
"Coverage: UK, 18 year old applicants with an achieved BTEC Extended diploma"
"------------------------------------------------------------------"
"Technical notes and definitions available on ucas.com."
"Data lines are comma delimited."
"Data follows -    38168 lines in total"
"------------------------------------------------------------------"
Year,BTEC Extended diploma points (equivalent grade profile),Reformed BTEC indicator,BTEC only status,Domicile,Gender,Age group,Applicant type,Applicants,
2010,All,All,All,All,All,All,All,24790
2011,All,All,All,All,All,All,All,24540
2012,All,All,All,All,All,All,All,23180
2013,All,All,All,All,All,All,All,24890
2014,All,All,All,All,All,All,All,28010
2015,All,All,All,All,All,All,All,28915
2016,All,All,All,All,All,All,All,27560
2017,All,All,All,All,All,All,All,25805
2018,All,All,All,All,All,All,All,24535
2019,All,All,All,All,All,All,All,22860
2020,All,All,All,All,All,All,All,24770
2021,All,All,All,All,All,All,All,27880
2010,All,All,All,All,All,All,Main scheme applicant,24525
2010,All,All,All,All,All,All,Non-main scheme applicant,265
2011,All,All,All,All,All,All,Main scheme applicant,24265
2011,All,All,All,All,All,All,Non-main scheme applicant,275
2012,All,All,All,All,All,All,Main scheme applicant,23180
2013,All,All,All,All,All,All,Main scheme applicant,24885
2013,All,All,All,All,All,All,Non-main scheme applicant,5
2014,All,All,All,All,All,All,Main scheme applicant,28010
2015,All,All,All,All,All,All,Main scheme applicant,28910
2015,All,All,All,All,All,All,Non-main scheme applicant,5
2016,All,All,All,All,All,All,Main scheme applicant,27555
2016,All,All,All,All,All,All,Non-main scheme applicant,5
2017,All,All,All,All,All,All,Main scheme applicant,25765
2017,All,All,All,All,All,All,Non-main scheme applicant,40
2018,All,All,All,All,All,All,Main scheme applicant,24510
2018,All,All,All,All,All,All,Non-main scheme applicant,25
2019,All,All,All,All,All,All,Main scheme applicant,22845
2019,All,All,All,All,All,All,Non-main scheme applicant,10
2020,All,All,All,All,All,All,Main scheme applicant,24740
2020,All,All,All,All,All,All,Non-main scheme applicant,30
2021,All,All,All,All,All,All,Main scheme applicant,27835
2021,All,All,All,All,All,All,Non-main scheme applicant,45
2010,All,All,All,All,All,18,All,24790
2011,All,All,All,All,All,18,All,24540
2012,All,All,All,All,All,18,All,23180
2013,All,All,All,All,All,18,All,24890
2014,All,All,All,All,All,18,All,28010
2015,All,All,All,All,All,18,All,28915
2016,All,All,All,All,All,18,All,27560
2017,All,All,All,All,All,18,All,25805
2018,All,All,All,All,All,18,All,24535
2019,All,All,All,All,All,18,All,22860
2020,All,All,All,All,All,18,All,24770
2021,All,All,All,All,All,18,All,27880
2010,All,All,All,All,All,18,Main scheme applicant,24525
2010,All,All,All,All,All,18,Non-main scheme applicant,265
2011,All,All,All,All,All,18,Main scheme applicant,24265
2011,All,All,All,All,All,18,Non-main scheme applicant,275
2012,All,All,All,All,All,18,Main scheme applicant,23180
2013,All,All,All,All,All,18,Main scheme applicant,24885
2013,All,All,All,All,All,18,Non-main scheme applicant,5
2014,All,All,All,All,All,18,Main scheme applicant,28010
2015,All,All,All,All,All,18,Main scheme applicant,28910
2015,All,All,All,All,All,18,Non-main scheme applicant,5
2016,All,All,All,All,All,18,Main scheme applicant,27555
2016,All,All,All,All,All,18,Non-main scheme applicant,5
2017,All,All,All,All,All,18,Main scheme applicant,25765
2017,All,All,All,All,All,18,Non-main scheme applicant,40
2018,All,All,All,All,All,18,Main scheme applicant,24510
2018,All,All,All,All,All,18,Non-main scheme applicant,25
2019,All,All,All,All,All,18,Main scheme applicant,22845
2019,All,All,All,All,All,18,Non-main scheme applicant,10
2020,All,All,All,All,All,18,Main scheme applicant,24740
2020,All,All,All,All,All,18,Non-main scheme applicant,30
2021,All,All,All,All,All,18,Main scheme applicant,27835
2021,All,All,All,All,All,18,Non-main scheme applicant,45
2010,All,All,All,All,Men,All,All,11385
2010,All,All,All,All,Women,All,All,13405
2011,All,All,All,All,Men,All,All,11355
2011,All,All,All,All,Women,All,All,13185
2012,All,All,All,All,Men,All,All,10590
2012,All,All,All,All,Women,All,All,12590
2013,All,All,All,All,Men,All,All,11520
2013,All,All,All,All,Women,All,All,13370
2014,All,All,All,All,Men,All,All,13280
2014,All,All,All,All,Women,All,All,14730
2015,All,All,All,All,Men,All,All,13695
2015,All,All,All,All,Women,All,All,15220
2016,All,All,All,All,Men,All,All,13460
2016,All,All,All,All,Women,All,All,14100
2017,All,All,All,All,Men,All,All,12710
2017,All,All,All,All,Women,All,All,13095
2018,All,All,All,All,Men,All,All,11840
2018,All,All,All,All,Women,All,All,12700
2019,All,All,All,All,Men,All,All,10965
2019,All,All,All,All,Women,All,All,11895
2020,All,All,All,All,Men,All,All,11790
2020,All,All,All,All,Women,All,All,12985
2021,All,All,All,All,Men,All,All,13315
2021,All,All,All,All,Women,All,All,14565
2010,All,All,All,All,Men,All,Main scheme applicant,11235
2010,All,All,All,All,Men,All,Non-main scheme applicant,150
2010,All,All,All,All,Women,All,Main scheme applicant,13290
2010,All,All,All,All,Women,All,Non-main scheme applicant,115
2011,All,All,All,All,Men,All,Main scheme applicant,11220
2011,All,All,All,All,Men,All,Non-main scheme applicant,135
2011,All,All,All,All,Women,All,Main scheme applicant,13050
2011,All,All,All,All,Women,All,Non-main scheme applicant,135
2012,All,All,All,All,Men,All,Main scheme applicant,10590
2012,All,All,All,All,Women,All,Main scheme applicant,12590
2013,All,All,All,All,Men,All,Main scheme applicant,11520
2013,All,All,All,All,Women,All,Main scheme applicant,13365
2014,All,All,All,All,Men,All,Main scheme applicant,13280
2014,All,All,All,All,Women,All,Main scheme applicant,14730
2015,All,All,All,All,Men,All,Main scheme applicant,13690
2015,All,All,All,All,Men,All,Non-main scheme applicant,5
2015,All,All,All,All,Women,All,Main scheme applicant,15220
2016,All,All,All,All,Men,All,Main scheme applicant,13455
2016,All,All,All,All,Men,All,Non-main scheme applicant,5
2016,All,All,All,All,Women,All,Main scheme applicant,14100
2017,All,All,All,All,Men,All,Main scheme applicant,12690
2017,All,All,All,All,Men,All,Non-main scheme applicant,20
2017,All,All,All,All,Women,All,Main scheme applicant,13075
2017,All,All,All,All,Women,All,Non-main scheme applicant,20
2018,All,All,All,All,Men,All,Main scheme applicant,11825
2018,All,All,All,All,Men,All,Non-main scheme applicant,15
2018,All,All,All,All,Women,All,Main scheme applicant,12685
2018,All,All,All,All,Women,All,Non-main scheme applicant,10
2019,All,All,All,All,Men,All,Main scheme applicant,10955
2019,All,All,All,All,Men,All,Non-main scheme applicant,5
2019,All,All,All,All,Women,All,Main scheme applicant,11890
2019,All,All,All,All,Women,All,Non-main scheme applicant,5
2020,All,All,All,All,Men,All,Main scheme applicant,11770
2020,All,All,All,All,Men,All,Non-main scheme applicant,15
2020,All,All,All,All,Women,All,Main scheme applicant,12970
2020,All,All,All,All,Women,All,Non-main scheme applicant,15
2021,All,All,All,All,Men,All,Main scheme applicant,13300
2021,All,All,All,All,Men,All,Non-main scheme applicant,20
2021,All,All,All,All,Women,All,Main scheme applicant,14535
2021,All,All,All,All,Women,All,Non-main scheme applicant,30
2010,All,All,All,All,Men,18,All,11385
2010,All,All,All,All,Women,18,All,13405
2011,All,All,All,All,Men,18,All,11355
2011,All,All,All,All,Women,18,All,13185
2012,All,All,All,All,Men,18,All,10590
