"------------------------------------------------------------------"
"UCAS Analysis & Insights - 2021 cycle applicant figures"
"------------------------------------------------------------------"
"Published on 9 December 2021"
"------------------------------------------------------------------"
"File name: EOC_data_resource_2021_020_1"
"Cycles: 2010 - 2021"
"Cycle reference point: End of cycle"
"Analysis classes: Year, Predicted BTEC Extended diploma points (equivalent grade profile), Reformed BTEC indicator, Domicile, Gender, Age group, Applicant type                                                                    "
"Coverage: UK, 18 year old, main scheme applicants with a predicted BTEC Extended diploma"
"------------------------------------------------------------------"
"Technical notes and definitions available on ucas.com."
"Data lines are comma delimited."
"Data follows -    13932 lines in total"
"------------------------------------------------------------------"
Year,Predicted BTEC Extended diploma points (equivalent grade profile),Reformed BTEC indicator,Domicile,Gender,Age group,Applicant type,Applicants,
2010,All,All,All,All,All,All,20325
2011,All,All,All,All,All,All,21805
2012,All,All,All,All,All,All,19030
2013,All,All,All,All,All,All,21415
2014,All,All,All,All,All,All,24645
2015,All,All,All,All,All,All,27815
2016,All,All,All,All,All,All,26540
2017,All,All,All,All,All,All,24660
2018,All,All,All,All,All,All,23325
2019,All,All,All,All,All,All,22090
2020,All,All,All,All,All,All,23535
2021,All,All,All,All,All,All,26640
2010,All,All,All,All,All,Main scheme applicant,20325
2011,All,All,All,All,All,Main scheme applicant,21805
2012,All,All,All,All,All,Main scheme applicant,19030
2013,All,All,All,All,All,Main scheme applicant,21415
2014,All,All,All,All,All,Main scheme applicant,24645
2015,All,All,All,All,All,Main scheme applicant,27815
2016,All,All,All,All,All,Main scheme applicant,26540
2017,All,All,All,All,All,Main scheme applicant,24660
2018,All,All,All,All,All,Main scheme applicant,23325
2019,All,All,All,All,All,Main scheme applicant,22090
2020,All,All,All,All,All,Main scheme applicant,23535
2021,All,All,All,All,All,Main scheme applicant,26640
2010,All,All,All,All,18,All,20325
2011,All,All,All,All,18,All,21805
2012,All,All,All,All,18,All,19030
2013,All,All,All,All,18,All,21415
2014,All,All,All,All,18,All,24645
2015,All,All,All,All,18,All,27815
2016,All,All,All,All,18,All,26540
2017,All,All,All,All,18,All,24660
2018,All,All,All,All,18,All,23325
2019,All,All,All,All,18,All,22090
2020,All,All,All,All,18,All,23535
2021,All,All,All,All,18,All,26640
2010,All,All,All,All,18,Main scheme applicant,20325
2011,All,All,All,All,18,Main scheme applicant,21805
2012,All,All,All,All,18,Main scheme applicant,19030
2013,All,All,All,All,18,Main scheme applicant,21415
2014,All,All,All,All,18,Main scheme applicant,24645
2015,All,All,All,All,18,Main scheme applicant,27815
2016,All,All,All,All,18,Main scheme applicant,26540
2017,All,All,All,All,18,Main scheme applicant,24660
2018,All,All,All,All,18,Main scheme applicant,23325
2019,All,All,All,All,18,Main scheme applicant,22090
2020,All,All,All,All,18,Main scheme applicant,23535
2021,All,All,All,All,18,Main scheme applicant,26640
2010,All,All,All,Men,All,All,9725
2010,All,All,All,Women,All,All,10600
2011,All,All,All,Men,All,All,10415
2011,All,All,All,Women,All,All,11395
2012,All,All,All,Men,All,All,9035
2012,All,All,All,Women,All,All,9995
2013,All,All,All,Men,All,All,10150
2013,All,All,All,Women,All,All,11265
2014,All,All,All,Men,All,All,11935
2014,All,All,All,Women,All,All,12710
2015,All,All,All,Men,All,All,13410
2015,All,All,All,Women,All,All,14405
2016,All,All,All,Men,All,All,12985
2016,All,All,All,Women,All,All,13555
2017,All,All,All,Men,All,All,12080
2017,All,All,All,Women,All,All,12580
2018,All,All,All,Men,All,All,11190
2018,All,All,All,Women,All,All,12140
2019,All,All,All,Men,All,All,10610
2019,All,All,All,Women,All,All,11480
2020,All,All,All,Men,All,All,11170
2020,All,All,All,Women,All,All,12360
2021,All,All,All,Men,All,All,12690
2021,All,All,All,Women,All,All,13955
2010,All,All,All,Men,All,Main scheme applicant,9725
2010,All,All,All,Women,All,Main scheme applicant,10600
2011,All,All,All,Men,All,Main scheme applicant,10415
2011,All,All,All,Women,All,Main scheme applicant,11395
2012,All,All,All,Men,All,Main scheme applicant,9035
2012,All,All,All,Women,All,Main scheme applicant,9995
2013,All,All,All,Men,All,Main scheme applicant,10150
2013,All,All,All,Women,All,Main scheme applicant,11265
2014,All,All,All,Men,All,Main scheme applicant,11935
2014,All,All,All,Women,All,Main scheme applicant,12710
2015,All,All,All,Men,All,Main scheme applicant,13410
2015,All,All,All,Women,All,Main scheme applicant,14405
2016,All,All,All,Men,All,Main scheme applicant,12985
2016,All,All,All,Women,All,Main scheme applicant,13555
2017,All,All,All,Men,All,Main scheme applicant,12080
2017,All,All,All,Women,All,Main scheme applicant,12580
2018,All,All,All,Men,All,Main scheme applicant,11190
2018,All,All,All,Women,All,Main scheme applicant,12140
2019,All,All,All,Men,All,Main scheme applicant,10610
2019,All,All,All,Women,All,Main scheme applicant,11480
2020,All,All,All,Men,All,Main scheme applicant,11170
2020,All,All,All,Women,All,Main scheme applicant,12360
2021,All,All,All,Men,All,Main scheme applicant,12690
2021,All,All,All,Women,All,Main scheme applicant,13955
2010,All,All,All,Men,18,All,9725
2010,All,All,All,Women,18,All,10600
2011,All,All,All,Men,18,All,10415
2011,All,All,All,Women,18,All,11395
2012,All,All,All,Men,18,All,9035
2012,All,All,All,Women,18,All,9995
2013,All,All,All,Men,18,All,10150
2013,All,All,All,Women,18,All,11265
2014,All,All,All,Men,18,All,11935
2014,All,All,All,Women,18,All,12710
2015,All,All,All,Men,18,All,13410
2015,All,All,All,Women,18,All,14405
2016,All,All,All,Men,18,All,12985
2016,All,All,All,Women,18,All,13555
2017,All,All,All,Men,18,All,12080
2017,All,All,All,Women,18,All,12580
2018,All,All,All,Men,18,All,11190
2018,All,All,All,Women,18,All,12140
2019,All,All,All,Men,18,All,10610
2019,All,All,All,Women,18,All,11480
2020,All,All,All,Men,18,All,11170
2020,All,All,All,Women,18,All,12360
2021,All,All,All,Men,18,All,12690
2021,All,All,All,Women,18,All,13955
2010,All,All,All,Men,18,Main scheme applicant,9725
2010,All,All,All,Women,18,Main scheme applicant,10600
2011,All,All,All,Men,18,Main scheme applicant,10415
2011,All,All,All,Women,18,Main scheme applicant,11395
2012,All,All,All,Men,18,Main scheme applicant,9035
2012,All,All,All,Women,18,Main scheme applicant,9995
2013,All,All,All,Men,18,Main scheme applicant,10150
2013,All,All,All,Women,18,Main scheme applicant,11265
2014,All,All,All,Men,18,Main scheme applicant,11935
2014,All,All,All,Women,18,Main scheme applicant,12710
2015,All,All,All,Men,18,Main scheme applicant,13410
2015,All,All,All,Women,18,Main scheme applicant,14405
2016,All,All,All,Men,18,Main scheme applicant,12985
2016,All,All,All,Women,18,Main scheme applicant,13555
2017,All,All,All,Men,18,Main scheme applicant,12080
2017,All,All,All,Women,18,Main scheme applicant,12580
2018,All,All,All,Men,18,Main scheme applicant,11190
2018,All,All,All,Women,18,Main scheme applicant,12140
2019,All,All,All,Men,18,Main scheme applicant,10610
2019,All,All,All,Women,18,Main scheme applicant,11480
2020,All,All,All,Men,18,Main scheme applicant,11170
2020,All,All,All,Women,18,Main scheme applicant,12360
2021,All,All,All,Men,18,Main scheme applicant,12690
2021,All,All,All,Women,18,Main scheme applicant,13955
2010,All,All,England,All,All,All,18890
2010,All,All,Northern Ireland,All,All,All,530
2010,All,All,Wales,All,All,All,900
2011,All,All,England,All,All,All,20295
2011,All,All,Northern Ireland,All,All,All,585
2011,All,All,Scotland,All,All,All,5
