"------------------------------------------------------------------"
"UCAS Analysis & Insights - 2021 cycle applicant figures"
"------------------------------------------------------------------"
"Published on 9 December 2021"
"------------------------------------------------------------------"
"File name: EOC_data_resource_2021_066_1"
"Cycles: 2010 - 2021"
"Cycle reference point: End of cycle"
"Analysis classes: Year, Difference between predicted and achieved BTEC Extended diploma points, Reformed BTEC indicator, Domicile, Gender, Age group, Applicant type                                                                     "
"Coverage: UK, 18 year old, main scheme applicants with a predicted BTEC Extended diploma. Restricted to applicants where the reformed/non-reformed status of their predicted and achieved BTEC extended diplomas is the same."
"------------------------------------------------------------------"
"Technical notes and definitions available on ucas.com."
"Data lines are comma delimited."
"Data follows -    14628 lines in total"
"------------------------------------------------------------------"
Year,Difference between predicted and achieved BTEC Extended diploma points,Reformed BTEC indicator,Domicile,Gender,Age group,Applicant type,Applicants,
2010,All,All,All,All,All,All,19145
2011,All,All,All,All,All,All,20365
2012,All,All,All,All,All,All,17625
2013,All,All,All,All,All,All,19985
2014,All,All,All,All,All,All,22960
2015,All,All,All,All,All,All,25850
2016,All,All,All,All,All,All,25280
2017,All,All,All,All,All,All,23240
2018,All,All,All,All,All,All,20690
2019,All,All,All,All,All,All,18955
2020,All,All,All,All,All,All,20870
2021,All,All,All,All,All,All,23900
2010,All,All,All,All,All,Main scheme applicant,19145
2011,All,All,All,All,All,Main scheme applicant,20365
2012,All,All,All,All,All,Main scheme applicant,17625
2013,All,All,All,All,All,Main scheme applicant,19985
2014,All,All,All,All,All,Main scheme applicant,22960
2015,All,All,All,All,All,Main scheme applicant,25850
2016,All,All,All,All,All,Main scheme applicant,25280
2017,All,All,All,All,All,Main scheme applicant,23240
2018,All,All,All,All,All,Main scheme applicant,20690
2019,All,All,All,All,All,Main scheme applicant,18955
2020,All,All,All,All,All,Main scheme applicant,20870
2021,All,All,All,All,All,Main scheme applicant,23900
2010,All,All,All,All,18,All,19145
2011,All,All,All,All,18,All,20365
2012,All,All,All,All,18,All,17625
2013,All,All,All,All,18,All,19985
2014,All,All,All,All,18,All,22960
2015,All,All,All,All,18,All,25850
2016,All,All,All,All,18,All,25280
2017,All,All,All,All,18,All,23240
2018,All,All,All,All,18,All,20690
2019,All,All,All,All,18,All,18955
2020,All,All,All,All,18,All,20870
2021,All,All,All,All,18,All,23900
2010,All,All,All,All,18,Main scheme applicant,19145
2011,All,All,All,All,18,Main scheme applicant,20365
2012,All,All,All,All,18,Main scheme applicant,17625
2013,All,All,All,All,18,Main scheme applicant,19985
2014,All,All,All,All,18,Main scheme applicant,22960
2015,All,All,All,All,18,Main scheme applicant,25850
2016,All,All,All,All,18,Main scheme applicant,25280
